employee_id,timestamp,location,cpu,memory_percent,disk_percent,network_sent,network_received,process_count,is_suspicious
emp_0163,2025-05-15 09:12:05,Bahawalpur,16.78,44.37,77.12,167.84,96.15,31.17,0
emp_1403,2025-05-15 12:59:25,Bahawalpur,27.1,60.65,65.01,86.97,101.28,20.0,0
emp_1727,2025-05-15 10:25:20,Bahawalpur,64.46,46.28,58.66,163.59,158.19,41.68,0
emp_0485,2025-05-15 16:51:19,Bahawalpur,32.47,52.77,63.47,34.34,108.04,52.12,0
emp_1716,2025-05-15 16:23:07,Bahawalpur,42.37,37.87,59.34,127.03,84.48,22.15,0
emp_1994,2025-05-15 09:59:01,Bahawalpur,14.86,47.37,72.08,43.14,126.8,45.71,0
emp_0644,2025-05-15 12:05:02,Bahawalpur,45.01,26.27,53.35,141.83,38.7,50.53,0
emp_1781,2025-05-15 11:08:56,Bahawalpur,5.23,26.01,79.8,43.18,87.13,54.57,0
emp_0509,2025-05-15 10:22:27,Bahawalpur,56.96,37.41,55.75,123.74,55.21,58.93,0
emp_0771,2025-05-15 13:28:03,Bahawalpur,5.95,46.63,52.08,104.4,65.29,63.46,0
emp_0490,2025-05-15 14:49:32,Bahawalpur,28.03,42.88,64.97,79.7,61.01,43.24,0
emp_1158,2025-05-15 11:06:02,Bahawalpur,5.0,70.02,60.28,45.95,37.66,36.71,0
emp_0267,2025-05-15 14:47:23,Bahawalpur,48.52,68.44,53.66,86.56,106.88,78.02,0
emp_0951,2025-05-15 01:03:36,Karachi,100.0,95.1,100.0,300.0,485.77,117.83,1
emp_1101,2025-05-15 15:01:44,Bahawalpur,36.8,34.03,65.54,194.58,118.51,45.01,0
emp_1037,2025-05-15 10:38:53,Bahawalpur,53.76,47.97,74.14,54.29,56.29,39.61,0
emp_0574,2025-05-15 15:41:31,Bahawalpur,24.39,61.45,65.44,37.64,79.54,32.69,0
emp_1643,2025-05-15 09:08:04,Bahawalpur,25.78,36.77,67.88,90.0,88.9,44.57,0
emp_0447,2025-05-15 23:50:15,Islamabad,90.0,82.45,83.25,479.04,1000.0,189.05,0
emp_1431,2025-05-15 11:40:21,Bahawalpur,19.85,36.28,79.56,110.79,127.63,100.0,0
emp_0912,2025-05-15 16:09:28,Bahawalpur,41.55,23.78,90.0,71.2,103.57,20.23,0
emp_1552,2025-05-15 15:10:30,Bahawalpur,42.96,30.79,39.51,53.7,136.62,100.0,0
emp_1823,2025-05-15 14:56:20,Bahawalpur,19.13,41.88,59.04,79.49,137.86,35.81,0
emp_0577,2025-05-15 12:01:30,Bahawalpur,27.36,35.1,60.99,124.55,118.1,62.25,0
emp_0029,2025-05-15 15:05:23,Bahawalpur,23.31,51.7,54.55,10.0,80.58,43.89,0
emp_1353,2025-05-15 21:47:57,Faisalabad,96.82,81.25,87.92,359.78,748.01,121.68,1
emp_0651,2025-05-15 10:19:43,Bahawalpur,17.63,27.79,53.11,165.38,127.59,38.9,1
emp_0830,2025-05-15 12:42:46,Bahawalpur,59.34,56.33,63.05,83.78,131.95,49.24,0
emp_0032,2025-05-15 10:11:23,Bahawalpur,27.18,67.9,75.32,145.95,77.02,28.4,0
emp_1204,2025-05-15 16:32:22,Bahawalpur,41.68,54.6,75.79,87.69,111.96,67.86,0
emp_0670,2025-05-15 15:31:35,Bahawalpur,49.8,39.86,86.33,53.43,127.73,27.78,0
emp_1119,2025-05-15 14:48:17,Bahawalpur,28.56,70.64,48.49,86.73,174.48,71.61,0
